epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.39532,3.66071,4.75198,2.51401,0,0,0,0,0,6.30727,0,1e-05,1e-05,1e-05
2,4.46281,3.39463,4.75912,2.08166,0,0,0,0,0,6.31292,0,2.9703e-05,2.9703e-05,2.9703e-05
3,6.77253,3.36666,4.92305,2.17565,0,0,0,0,0,6.31838,0,4.901e-05,4.901e-05,4.901e-05
4,8.89498,3.40525,4.63778,2.20916,0,0,0,0,0,6.32357,0,6.7921e-05,6.7921e-05,6.7921e-05
5,11.6216,3.08229,5.1742,1.76387,0,0,0,0,0,6.32822,0,8.6436e-05,8.6436e-05,8.6436e-05
6,14.1326,2.91092,4.59381,1.54177,0,0,0,0,0,6.32822,0,0.000104555,0.000104555,0.000104555
7,16.6633,2.64364,4.42588,1.64456,0,0,0,0,0,6.3348,0,0.000122278,0.000122278,0.000122278
8,19.2485,2.44442,4.45714,1.4622,0,0,0,0,0,6.34096,0,0.000139605,0.000139605,0.000139605
9,21.9263,2.19083,4.23504,1.4192,0,0,0,0,0,6.34096,0,0.000156536,0.000156536,0.000156536
10,24.4677,2.95453,4.9885,1.93885,0,0,0,0,0,6.3461,0,0.000173071,0.000173071,0.000173071
11,27.0827,2.19399,4.16637,1.65923,0,0,0,0,0,6.3461,0,0.00018921,0.00018921,0.00018921
12,30.0543,2.0665,4.1635,1.42177,0,0,0,0,0,6.34656,0,0.000204953,0.000204953,0.000204953
13,32.7683,2.07741,4.11501,1.51995,0,0,0,0,0,6.34656,0,0.0002203,0.0002203,0.0002203
14,35.4081,1.98852,4.06775,1.37808,0,0,0,0,0,6.34656,0,0.000235251,0.000235251,0.000235251
15,37.9008,1.94953,3.93198,1.301,0,0,0,0,0,6.33704,0,0.000249806,0.000249806,0.000249806
16,40.2152,1.71587,3.73833,1.34096,0,0,0,0,0,6.33704,0,0.000263965,0.000263965,0.000263965
17,42.6465,2.15091,3.95347,1.3899,0,0,0,0,0,6.33704,0,0.000277728,0.000277728,0.000277728
18,45.0482,2.03707,3.67594,1.45818,0,0,0,0,0,6.3113,0,0.000291095,0.000291095,0.000291095
19,47.5734,1.7271,3.52513,1.31405,0,0,0,0,0,6.3113,0,0.000304066,0.000304066,0.000304066
20,50.0433,1.99672,3.71012,1.21933,0,0,0,0,0,6.3113,0,0.000316641,0.000316641,0.000316641
21,52.7393,1.86681,3.73788,1.2706,0,0,0,0,0,6.25463,0,0.00032882,0.00032882,0.00032882
22,55.4813,1.92195,3.65787,1.35431,0,0,0,0,0,6.25463,0,0.000340603,0.000340603,0.000340603
23,58.0427,1.67599,3.54792,1.18332,0,0,0,0,0,6.25463,0,0.00035199,0.00035199,0.00035199
24,60.3837,1.51257,3.33456,1.14956,0,0,0,0,0,6.25463,0,0.000362981,0.000362981,0.000362981
25,62.9636,1.85034,3.732,1.25589,0,0,0,0,0,6.16498,0,0.000373576,0.000373576,0.000373576
26,65.4081,1.8893,3.36008,1.07658,0,0,0,0,0,6.16498,0,0.000383775,0.000383775,0.000383775
27,67.7423,1.86389,3.48878,1.37683,0,0,0,0,0,6.16498,0,0.000393578,0.000393578,0.000393578
28,70.1083,1.79905,3.39115,1.142,0,0,0,0,0,6.16498,0,0.000402985,0.000402985,0.000402985
29,72.4298,1.67046,3.09267,1.19117,0,0,0,0,0,6.16498,0,0.000411996,0.000411996,0.000411996
30,74.9443,1.59323,3.29734,1.07931,0,0,0,0,0,6.00676,0,0.000420611,0.000420611,0.000420611
31,77.4898,1.59108,3.02395,1.07345,0,0,0,0,0,6.00676,0,0.00042883,0.00042883,0.00042883
32,80.0354,1.67135,3.20772,1.11183,0,0,0,0,0,6.00676,0,0.000436653,0.000436653,0.000436653
33,82.4969,1.74354,3.37331,1.19214,0,0,0,0,0,6.00676,0,0.00044408,0.00044408,0.00044408
34,84.7615,1.69507,3.4225,1.08889,0,0,0,0,0,6.00676,0,0.000451111,0.000451111,0.000451111
35,86.9733,1.58433,3.47442,1.1495,0,0,0,0,0,6.00676,0,0.000457746,0.000457746,0.000457746
